,preferences
0,12543
1,24315
2,15324
3,13425
4,23541
5,45231
6,24153
7,32514
8,45321
9,35421
10,43125
11,21453
12,51342
13,43125
14,12435
15,23415
16,14352
17,51243
18,45132
19,35214
20,32451
21,53124
22,34125
23,43152
24,31452
25,14532
26,15243
27,34125
28,13245
29,12435
30,23514
31,34251
32,15423
33,14523
34,32541
35,15432
36,45213
37,21345
38,14352
39,24513
40,45132
41,21534
42,42531
43,32145
44,35421
45,45321
46,12534
47,52431
48,32145
49,35241
50,32541
51,13245
52,12354
53,34251
54,31542
55,12354
56,21354
57,45123
58,21354
59,52143
60,34251
61,53124
62,52143
63,24531
64,35124
65,21534
66,24513
67,53142
68,25143
69,24315
70,15324
71,53241
72,14352
73,45312
74,42351
